Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
2CH44G,REP,H7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH44G,NA,37.167,,,
2CH45G,REP,E8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH45G,NA,14.831,,,
2CH46A,REP,A9,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH46A,NA,20.85,,,
2CH47A,REP,B9,Triatoma,sample,FALSE,Undetermined,field,Tlecticularia,L1_2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH47A,NA,19.951,,,
2CH51G,REP,D7,Triatoma,sample,P,Tc1,field,Tlecticularia,L5,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH51G,NA,40.858,,,
2CH52G,REP,F8,Triatoma,sample,P,Tc1,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH52G,NA,28.596,,,
LC18i6A2,1,F9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,yes,2,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC18i6A2,70.557,27.178,,,
LC19i6A0,1,G9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC19i6A0,45.33,20.945,,,
LC20i6A0,1,H9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC20i6A0,90.653,29.874,,,
LC21i6A1,1,A10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC21i6A1,90.612,24.66,,,
LC22i5A3,1,B10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC22i5A3,60.481,23.963,,,
LC23i4A3,1,C10,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC23i4A3,73.303,24.034,,,
LC24i5A3,1,D10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC24i5A3,47.488,19.02,,,
LC25i5A1,1,E10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC25i5A1,468.857,23.405,,,
LC27i6A1,1,G10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC27i6A1,126.696,24.516,,,
LC29i4A3,1,H10,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,3,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC29i4A3,203.782,28.036,,,
LC30i5A1,1,A11,Triatoma,sample,P,Tc1,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC30i5A1,124.528,13.31,,,
LC31i6A0,1,B11,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,no,0,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC31i6A0,270.277,14.453,,,
