Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
3L04A,REP,B3,Triatoma,sample,P,Tc1,field,Tsanguisuga,L6,L4_6,male,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L04A,NA,32.341,,,
3L05A,REP,C3,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L05A,NA,33.937,,,
3L06A,REP,D3,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L06A,NA,36.29,,,
3W05A,REP,B4,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W05A,NA,63.635,,,
3W06A,REP,C5,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W06A,NA,68.621,,,
3W07A,REP,D5,Triatoma,sample,N,N,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W07A,NA,31.719,,,
3W08A,REP,F4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W08A,NA,56.111,,,
3W09A,REP,G4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W09A,NA,76.747,,,
4L04A,REP,F5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L04A,NA,61.664,,,
4L05A,REP,G5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L05A,NA,46.452,,,
4L06A,REP,D6,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L2,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L06A,NA,48.818,,,
4L07A,REP,H5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L07A,NA,41.478,,,
4L08A,REP,A6,Triatoma,sample,P,Tc1,field,Tsanguisuga,L3,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L08A,NA,32.9,,,
