#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
3W04A,9435,REP,B6,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W04A,NA,39.71
4L01A,20133,REP,A2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L01A,NA,70.847
4L02A,6962,REP,B2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L02A,NA,60.687
4L03A,27088,REP,C2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L5,L4_6,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L03A,NA,70.939
4W02A,17925,REP,F2,Triatoma,sample,N,N,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W02A,NA,51.055
4W03A,18601,REP,G2,Triatoma,sample,FALSE,Undetermined,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W03A,NA,64.078
4W04A,9612,REP,H2,Triatoma,sample,N,N,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,4W04A,NA,55.369
4W06A,20760,REP,A3,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W06A,NA,1.226
2CH01G,3990,REP,E6,Triatoma,sample,P,TcMIX,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH01G,NA,21.35
2CH02G,16638,REP,F6,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH02G,NA,18.949
2CH03G,104,REP,G6,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH03G,NA,5.513
