OTUs,Domain,Phylum,Class,Order,Family,Genus
OTU_727,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__Alkanindigesuncultured bacterium
OTU_3296,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__Alkanindigesuncultured bacterium
OTU_379,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_236,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_527,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_167,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_453,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_2368,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_244,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae, D_5__Allobaculumuncultured bacterium
OTU_3801,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae, D_5__Alloprevotellagut metagenome
OTU_2031,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae, D_5__Alloprevotellauncultured bacterium
OTU_2472,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae, D_5__Alloprevotellauncultured bacterium
OTU_4868,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae, D_5__Alloprevotellauncultured bacterium
OTU_336,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae, D_5__AltererythrobacterKirrobacter mercurialis
OTU_4697,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae, D_5__Altererythrobacteruncultured bacterium
OTU_278,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae, D_5__Altererythrobacteruncultured bacterium
OTU_328,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae, D_5__Altererythrobacteruncultured bacterium
OTU_3419,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae, D_5__Altererythrobacteruncultured bacterium
OTU_2461,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae, D_5__Alterococcusuncultured bacterium
