OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1459,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,DS-100,uncultured bacterium,
OTU_3396,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,DS-100,uncultured Acidobacteriales bacterium,
OTU_3471,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Elev-16S-573,uncultured bacterium,
OTU_2974,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,DS-100,uncultured bacterium,
OTU_3390,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Pyrinomonas,uncultured bacterium
OTU_1831,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_609,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_4363,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_4660,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_911,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured Acidobacteria bacterium,
OTU_3092,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_503,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured Acidobacteria bacterium,
OTU_2115,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_5154,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured Acidobacteria bacterium,
OTU_2964,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_479,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,RB41,uncultured bacterium,
OTU_1288,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_4814,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_670,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_1616,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2406,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_1043,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_3791,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2400,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_2443,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_324,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_1226,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_1476,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_1658,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_4757,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_975,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,Acidobacteriaceae bacterium WY18
OTU_1513,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_1505,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2229,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2861,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_3583,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2804,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured Acidobacteria bacterium
OTU_526,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_5176,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_5644,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,Unknown Family,Blastocatella,uncultured bacterium
OTU_2602,Bacteria,Acidobacteria,Acidobacteria,Subgroup 11,uncultured bacterium,,
OTU_1777,Bacteria,TM6,uncultured candidate division TM6 bacterium,,,,
OTU_4460,Bacteria,TM6,uncultured bacterium,,,,
OTU_2978,Bacteria,TM6,uncultured Nautiliales bacterium,,,,
OTU_5214,Bacteria,TM6,uncultured Nautiliales bacterium,,,,
OTU_5220,Bacteria,TM6,uncultured Nautiliales bacterium,,,,
OTU_4346,Bacteria,TM6,uncultured bacterium,,,,
OTU_3836,Bacteria,TM6,uncultured bacterium,,,,
OTU_3896,Bacteria,TM6,uncultured bacterium,,,,
OTU_2942,Bacteria,TM6,uncultured bacterium,,,,
OTU_1622,Bacteria,TM6,uncultured bacterium,,,,
OTU_4307,Bacteria,TM6,uncultured bacterium,,,,
OTU_1408,Bacteria,TM6,uncultured bacterium,,,,
OTU_1481,Bacteria,TM6,uncultured bacterium,,,,
OTU_3511,Bacteria,TM6,uncultured bacterium,,,,
